"","X","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"2132",2132,70,46925,"07_W_2",2176.3,1.447,3.533,3.533,"PHE",3.10285,2.97778749999978
"2137",2137,75,46926,"07_W_2",2178.8,1.336,3.658,3.658,"PHE",3.22785,3.0838107954543
"2142",2142,80,46927,"07_W_2",2180.9,1.276,4.51,4.51,"PHE",4.07985,3.91683409090893
"2177",2177,20,46937,"86_W_2",2175.5,4.737,3.702,3.702,"PHE",3.27185,3.38045434462383
"2182",2182,25,46938,"86_W_2",2176.1,4.564,3.711,3.711,"PHE",3.28085,3.33961671575824
"2187",2187,30,46939,"86_W_2",2175.5,4.429,4.122,4.122,"PHE",3.69185,3.7007790868922
"2192",2192,35,46940,"07_E_3",2172.6,2.981,2.608,2.608,"PHE",2.17785,2.13694145802616
"2197",2197,40,46941,"07_E_3",2172.6,2.788,2.818,2.818,"PHE",2.38785,2.29710382916011
"2202",2202,45,46942,"07_E_3",2172.8,2.644,3.177,3.177,"PHE",2.74685,2.60626620029407
"2212",2212,55,46944,"01_W_2",2179.5,3.781,2.889,2.889,"PHE",2.45885,2.21859094256244
"2217",2217,60,46945,"01_W_2",2180.5,3.482,4.241,4.241,"PHE",3.81085,3.52075331369639
"2222",2222,65,46946,"01_W_2",2182.2,3.473,4.442,4.442,"PHE",4.01185,3.67191568483035
"2227",2227,70,46947,"98_E_3",2179.9,1.563,7.307,7.307,"PHE",6.87685,6.4870780559643
"2232",2232,75,46948,"98_E_3",2184.9,1.443,5.578,5.578,"PHE",5.14785,4.70824042709826
"2237",2237,80,46949,"98_E_3",2192.4,1.397,6.854,6.854,"PHE",6.42385,5.93440279823267
"2277",2277,25,46966,"74_K_2",2175.1,1.593,4.065,4.065,"PHE",3.63485,2.8012187499994
"2282",2282,30,46967,"74_K_2",2175.5,1.621,5.769,5.769,"PHE",5.33885,4.41342471590887
"2287",2287,35,46968,"74_K_2",2175.3,1.693,4.927,4.927,"PHE",4.49685,3.47963068181744
"2297",2297,45,46970,"74_W_2",2179,1.973,5.832,5.832,"PHE",5.40185,4.20104261363638
"2302",2302,50,46971,"74_W_2",2184.3,1.922,6.196,6.196,"PHE",5.76585,4.47324857954495
"2307",2307,55,46972,"74_W_2",2189.5,1.98,6.11,6.11,"PHE",5.67985,4.29545454545442
"2337",2337,20,47257,"74_E_2",2378.2,8.216,3.842,3.842,"PHE",3.41185,3.53697272727226
"2342",2342,25,47258,"74_E_2",2378.2,7.786,2.853,2.853,"PHE",2.42285,2.65766420454563
"2347",2347,30,47259,"74_E_2",2377.2,7.62,2.641,2.641,"PHE",2.21085,2.5553556818181
"2352",2352,35,47260,"89_W_2_R",2374.9,4.802,2.177,2.177,"PHE",1.74685,2.20104715909056
"2357",2357,40,47262,"89_W_2_R",2374.2,4.418,0.981,0.981,"PHE",0.55085,1.2244301136364
"2367",2367,50,47264,"92_W_3",2375.1,5.07,1.249,1.249,"PHE",0.81885,1.71181306818132
"2372",2372,55,47265,"92_W_3",2374.4,4.619,0.934,0.934,"PHE",0.50385,1.50650454545469
"2377",2377,60,47266,"92_W_3",2384.7,6.949,6.131,6.131,"PHE",5.70085,6.81319602272716
"2390",2390,73,47269,"77_E_2",2377.4,4.907,4.089,4.089,"PHE",3.65885,5.10027045454546
"18",18,18,44827,"19_W_2",2057.2,6.329,24.418,24.418,"GLU",23.98785,25.1990615705667
"23",23,23,44828,"19_W_2",2057.4,6.006,24.61,24.61,"GLU",24.17985,25.3818400028722
"28",28,28,44829,"19_W_2",2057.6,5.886,25.049,25.049,"GLU",24.61885,25.7754029985028
"38",38,38,44831,"19_K_2",2058.9,6.034,24.362,24.362,"GLU",23.93185,24.9208963063939
"43",43,43,44832,"19_K_2",2059.3,5.708,25.295,25.295,"GLU",24.86485,25.85069600661
"48",48,48,44833,"19_K_2",2061.2,5.785,25.224,25.224,"GLU",24.79385,25.6943510240556
"53",53,53,44834,"19_K_3",2065.1,6.991,25.549,25.549,"GLU",25.11885,25.7382941084465
"58",58,58,44835,"19_K_3",2066,6.406,25.292,25.292,"GLU",24.86185,25.5061564730494
"63",63,63,44836,"19_K_3",2068.3,6.428,26.243,26.243,"GLU",25.81285,26.3841746595719
"73",73,73,44838,"19_E_2",2078.3,7.38,24.013,24.013,"GLU",23.58285,23.8703572536471
"78",78,78,44839,"19_E_2",2082.1,6.504,24.321,24.321,"GLU",23.89085,24.2416726497154
"82",82,82,44840,"19_E_2",2089,6.399,23.698,23.698,"GLU",23.26785,23.5674990546515
"111",111,19,44846,"22_W_2",2062.4,7.714,23.036,23.036,"GLU",22.60585,24.2026860144056
"116",116,24,44847,"22_W_2",2062.6,7.452,23.342,23.342,"GLU",22.91185,24.5732738148928
"121",121,29,44848,"22_W_2",2061.4,7.448,23.227,23.227,"GLU",22.79685,24.4895540581045
"126",126,34,44849,"22_W_3",2062.2,6.443,20.981,20.981,"GLU",20.55085,22.4263218140358
"131",131,39,44850,"22_W_3",2063.7,6.035,20.268,20.268,"GLU",19.83785,21.8183072598654
"136",136,44,44851,"22_W_3",2065.5,5.779,21.427,21.427,"GLU",20.99685,23.0592980346035
"146",146,54,44856,"22_K_3",2104.6,6.508,21.793,21.793,"GLU",21.36285,23.4424830491284
"151",151,59,44857,"22_K_3",2114.7,6.042,21.419,21.419,"GLU",20.98885,23.1831917505039
"156",156,64,44858,"22_K_3",2112.6,5.022,20.603,20.603,"GLU",20.17285,22.6284879096163
"191",191,19,44868,"22_W_3",2059.5,6.509,20.737,20.737,"GLU",20.30685,22.2320625383169
"196",196,24,44869,"22_W_3",2059.5,6.203,20.522,20.522,"GLU",20.09185,22.0919834239606
"201",201,29,44870,"22_W_3",2059.7,5.679,20.372,20.372,"GLU",19.94185,22.0669936250833
"206",206,34,44871,"22_K_3",2059.1,5.31,21.921,21.921,"GLU",21.49085,23.7209454535092
"211",211,39,44872,"22_K_3",2059.7,5.608,21.586,21.586,"GLU",21.15585,23.3384808351569
"216",216,44,44873,"22_K_3",2059.9,5.196,21.767,21.767,"GLU",21.33685,23.6370663163517
"256",256,19,44890,"16_K_2",2057.6,6.337,24.441,24.441,"GLU",24.01085,26.170132600045
"261",261,24,44891,"16_K_2",2056.6,5.864,23.671,23.671,"GLU",23.24085,25.5251608362682
"266",266,29,44892,"16_K_2",2057.8,5.835,23.574,23.574,"GLU",23.14385,25.4695403882429
"301",301,14,44912,"13_K_3",2056.6,4.821,20.585,20.585,"GLU",20.15485,22.3991192588593
"306",306,19,44913,"13_K_3",2055.1,4.458,21.058,21.058,"GLU",20.62785,22.9416204849082
"311",311,24,44914,"13_K_3",2056.1,4.296,20.977,20.977,"GLU",20.54685,22.8738963782809
"336",336,14,44930,"04_K_3",2060.9,8.088,24.553,24.553,"GLU",24.12285,25.5632998760719
"341",341,19,44931,"04_K_3",2060.7,7.584,24.951,24.951,"GLU",24.52085,25.9604632925985
"346",346,24,44932,"04_K_3",2060.1,7.238,24.542,24.542,"GLU",24.11185,25.5356669680923
"351",351,29,44933,"04_E_3",2057.2,4.954,21.814,21.814,"GLU",21.38385,23.1904044428517
"356",356,34,44934,"04_E_3",2057,4.601,21.859,21.859,"GLU",21.42885,23.2756618556962
