"","X","Sample.ID","Year","System","Age","ALA.mean","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.sd","VAL.sd","NOR.sd","GLU.sd","PHE.sd"
"2","2","22_W_2","2022","Wood","2","22.7512864583339","17.8297061553032","13.2986054924243","22.8221459280307","4.78048285984851","0.221688688464545","0.512837276943243","0.592960277165705","0.175238409725958","0.98713566856272"
"6","6","16_K_2","2016","Kvichak","2","23.9200067234854","17.1943527462124","14.9321413825764","23.8781142992425","3.76283418560595","0.291243486665664","0.722858386117821","0.530181472112141","0.442907273825513","0.348452512445533"
"7","7","01_K_2","2001","Kvichak","2","21.9963610013172","13.6333840579707","13.3995210803689","21.0970204216073","6.35491897233156","0.366000484505783","0.980990304474625","2.3050261256777","0.51327355730725","0.969320825057637"
"8","8","01_W_3","2001","Wood","3","22.840913043478","14.0793405797098","11.4491956521739","21.9353405797101","6.47999275362264","0.198978988654363","1.12926064657722","2.36210636890628","0.289453508466983","0.756098454627124"
"9","9","04_E_3","2004","Egegik","3","22.2694624505925","15.7860144927533","14.6195428194993","20.9539841897231","2.40971442687666","0.300158004473048","1.62604480768632","0.645591763145703","0.247254941627596","0.429109007862526"
"10","10","04_K_3","2004","Kvichak","3","23.5227931488798","19.2227318840576","13.1392154150197","24.0979743083","3.579843873517","0.0728305393690158","1.41346945925825","0.475726349167716","0.242634837280217","1.23142724571758"
"11","11","04_W_3","2004","Wood","3","23.3633702651516","16.4150925189393","18.4967127840907","22.9270437499997","7.01444365530307","0.397071172785375","2.45794887033633","0.204177827913139","0.457830968441486","0.741940347079949"
"12","12","07_K_2","2007","Kvichak","2","21.8687907196969","21.708286837121","17.767994223485","19.8009520833331","6.00813707386368","0.438359032366354","2.37303820011146","0.360225130829506","0.596322420337689","3.32523090772508"
"13","13","10_E_2","2010","Egegik","2","22.4903418560603","22.6406059659087","15.5120311553035","21.733722916666","4.1048972537876","0.256703488542651","3.54492051359018","0.719932568847951","0.311818082377209","0.317718359397104"
"14","14","10_E_3","2010","Egegik","3","22.1677765151513","15.3910435606057","14.8581534090914","23.0764583333326","2.21999053030285","0.0572238607093002","0.728016865973696","0.399465011071599","0.309325603527081","0.305462417138899"
"15","15","22_E_2_R","2022","Egegik","2","23.1368768939387","14.4428390151509","14.3983920454548","23.2525965909075","2.3943920454536","0.150767694471206","2.31949631878132","1.40154894830025","0.420914404415571","0.608373674250908"
"16","16","92_W_2","1992","Wood","2","23.6426118371208","16.86223342803","13.8449482007578","21.2946849431809","6.81799820075701","0.283309529916732","0.356754241787322","2.93267337820167","0.259333697792386","1.07176854138841"
"17","17","04_E_2","2004","Egegik","2","23.2191525568184","19.4115505681819","13.3068102272738","22.9585020833323","5.04538276515056","0.150009193610545","1.95206419660065","0.422758893246928","0.51253043256954","0.883772283225114"
"18","18","07_E_2","2007","Egegik","2","22.1427538825758","17.1741471590908","16.0812155303036","19.6385229166661","6.31811950757559","0.367464865004003","0.0905551397323034","0.667752733337932","0.725471683154928","0.595932288390992"
"19","19","10_K_2","2010","Kvichak","2","21.9410662878789","22.4814962121212","13.5185984848494","21.4997083333325","3.28450378787805","0.169177262202918","3.1946308036734","0.261209556100449","0.35031912317172","0.932519521344193"
"20","20","01_E_2","2001","Egegik","2","23.4434185606053","16.1348238636352","14.5500284090909","23.1676818181801","5.39524242423935","0.485001008160124","0.0996041338897248","1.81005858066522","0.0656280853270229","0.7108904653068"
"21","21","01_K_3","2001","Kvichak","3","23.9444992424237","15.1787371212112","15.0746553030303","22.2803939393926","6.28936969696728","0.392574358281172","0.631147452789243","1.81471045059859","0.494237042234703","0.422905683693657"
"22","22","04_W_2","2004","Wood","2","22.9252747159082","18.8210555871199","13.0665582386364","22.5447310606041","3.38889696969401","0.297054345316925","1.68180260639526","0.824426921369262","0.249182192944276","0.303206378905885"
"23","23","98_K_2","1998","Kvichak","2","22.8977237689391","14.4480853219691","13.8847523674242","22.1860568181814","6.97317575757449","0.143808792587169","0.434537012039861","0.153398423492313","0.288432086133067","0.745968326789493"
