"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"1",46457,"5AA",1279.1,30.496,-0.523,-0.523,"ALA",-1.15499772727258
"2",46457,"5AA",1399.5,19.087,-0.623,-0.623,"VAL",0.290942329545544
"3",46457,"5AA",1537.2,33.805,14.667,14.667,"NOR",13.9349599431831
"4",46457,"5AA",2074.3,18.215,-3.177,-3.177,"GLU",-3.39354943181896
"5",46457,"5AA",2188.6,16.967,-4.922,-4.922,"PHE",-5.13104687500079
"6",46458,"5AA",1281.2,28.686,-0.9,-0.9,"ALA",-1.51618636363627
"7",46458,"5AA",1401.8,17.907,-0.741,-0.741,"VAL",0.183353977272811
"8",46458,"5AA",1539.7,32.529,14.587,14.587,"NOR",13.9276596590921
"9",46458,"5AA",2076.2,17.645,-3.084,-3.084,"GLU",-3.34969659090977
"10",46458,"5AA",2190.5,16.306,-4.959,-4.959,"PHE",-5.23178125000076
"11",46459,"5AA",1281.2,27.499,-1.063,-1.063,"ALA",-1.66337499999984
"12",46459,"5AA",1401.8,16.976,-0.924,-0.924,"VAL",0.0107656250000782
"13",46459,"5AA",1539.5,30.894,14.527,14.527,"NOR",13.9403593750012
"14",46459,"5AA",2076,17.395,-3.422,-3.422,"GLU",-3.73684375000058
"15",46459,"5AA",2190.3,15.914,-4.961,-4.961,"PHE",-5.29751562500072
"16",46460,"89_W_2",1280.5,21.622,23.884,23.884,"ALA",23.2994363636365
"17",46460,"89_W_2",1400.9,8.001,19.859,19.859,"VAL",20.8041772727273
"18",46460,"89_W_2",1525.9,5.375,13.553,13.553,"NOR",13.0390590909102
"19",46460,"89_W_2",2069.1,11.767,22.606,22.606,"GLU",22.2420090909086
"20",46460,"89_W_2",2175.3,3.019,3.63,3.63,"PHE",3.22974999999885
"21",46461,"89_W_2",1280.5,20.174,23.415,23.415,"ALA",22.8462477272728
"22",46461,"89_W_2",1401.3,8.364,18.732,18.732,"VAL",19.6875889204546
"23",46461,"89_W_2",1526.3,7.223,13.45,13.45,"NOR",13.0087588068192
"24",46461,"89_W_2",2070.1,11.908,22.597,22.597,"GLU",22.1838619318178
"25",46461,"89_W_2",2175.1,2.764,4.646,4.646,"PHE",4.18201562499889
"26",46462,"89_W_2",1281,18.801,23.547,23.547,"ALA",22.9940590909092
"27",46462,"89_W_2",1401.6,9.542,17.162,17.162,"VAL",18.1280005681819
"28",46462,"89_W_2",1526.5,4.481,13.521,13.521,"NOR",13.1524585227283
"29",46462,"89_W_2",2069.1,10.676,23.104,23.104,"GLU",22.6417147727265
"30",46462,"89_W_2",2175.1,2.29,3.298,3.298,"PHE",2.77028124999892
"31",46463,"89_E_3",1285.4,25.144,22.996,22.996,"ALA",22.4588704545455
"32",46463,"89_E_3",1406.4,14.616,16.139,16.139,"VAL",17.1154122159091
"33",46463,"89_E_3",1528.8,8.694,13.172,13.172,"NOR",12.8761582386373
"34",46463,"89_E_3",2078.5,15.73,22.475,22.475,"GLU",21.9635676136357
"35",46463,"89_E_3",2179,3.129,0.997,0.997,"PHE",0.405546874998953
"36",46464,"89_E_3",1285.4,23.129,23.301,23.301,"ALA",22.779681818182
"37",46464,"89_E_3",1406.4,14.875,15.673,15.673,"VAL",16.6598238636364
"38",46464,"89_E_3",1528.8,8.62,13.575,13.575,"NOR",13.3518579545463
"39",46464,"89_E_3",2078.1,15.116,23.338,23.338,"GLU",22.7774204545449
"40",46464,"89_E_3",2178.8,2.948,3.76,3.76,"PHE",3.10481249999899
"41",46465,"89_E_3",1285.4,22.802,24.086,24.086,"ALA",23.5804931818183
"42",46465,"89_E_3",1406.6,13.232,15.93,15.93,"VAL",16.9272355113637
"43",46465,"89_E_3",1528.8,4.816,16.527,16.527,"NOR",16.3765576704554
"44",46465,"89_E_3",2078.5,15.03,23.724,23.724,"GLU",23.1142732954541
"45",46465,"89_E_3",2178.8,3.034,4.71,4.71,"PHE",3.99107812499902
"46",46466,"5AA",1280.3,20.906,0.249,0.249,"ALA",-0.24069545454539
"47",46466,"5AA",1400.9,12.6,0.153,0.153,"VAL",1.16064715909095
"48",46466,"5AA",1539.1,24.517,15.35,15.35,"NOR",15.2722573863644
"49",46466,"5AA",2076,14.245,-1.997,-1.997,"GLU",-2.65587386363669
"50",46466,"5AA",2190.1,12.392,-3.281,-3.281,"PHE",-4.06365625000095
"51",46467,"89_K_2",1283.9,19.883,24.88,24.88,"ALA",24.406115909091
"52",46467,"89_K_2",1375.4,77.533,7.276,7.276,"VAL",8.29405880681821
"53",46467,"89_K_2",1529,5.681,16.53,16.53,"NOR",16.5249571022735
"54",46467,"89_K_2",2075.2,12.934,23.165,23.165,"GLU",22.4569789772725
"55",46467,"89_K_2",2177.6,2.711,6.775,6.775,"PHE",5.92860937499908
"56",46468,"89_K_2",1283.5,20.343,24.58,24.58,"ALA",24.1219272727274
"57",46468,"89_K_2",1404.3,10.151,15.797,15.797,"VAL",16.8254704545455
"58",46468,"89_K_2",1528.6,8.519,14.06,14.06,"NOR",14.1276568181825
"59",46468,"89_K_2",2077.9,12.905,23.381,23.381,"GLU",22.6238318181812
"60",46468,"89_K_2",2181.5,2.674,8.442,8.442,"PHE",7.53187499999912
"61",46469,"89_K_2",1284.5,19.973,24.683,24.683,"ALA",24.2407386363637
"62",46469,"89_K_2",1405.1,10.332,15.831,15.831,"VAL",16.8698821022727
"63",46469,"89_K_2",1529.7,8.718,14.313,14.313,"NOR",14.4533565340915
"64",46469,"89_K_2",2076.2,12.623,23.392,23.392,"GLU",22.5856846590904
"65",46469,"89_K_2",2178.4,2.724,8.89,8.89,"PHE",7.91614062499915
"66",46470,"89_E_2",1285.6,20.46,24.698,24.698,"ALA",24.2715500000001
"67",46470,"89_E_2",1406.6,11.37,15.819,15.819,"VAL",16.86829375
"68",46470,"89_E_2",1530.3,8.381,13.97,13.97,"NOR",14.1830562500006
"69",46470,"89_E_2",2079.1,13.145,23.049,23.049,"GLU",22.1935374999996
"70",46470,"89_E_2",2180.5,2.778,6.484,6.484,"PHE",5.44640624999918
"71",46471,"89_E_2",1287.6,20.111,24.632,24.632,"ALA",24.2213613636364
"72",46471,"89_E_2",1409.1,11.635,16.528,16.528,"VAL",17.5877053977273
"73",46471,"89_E_2",1532.4,3.057,10.35,10.35,"NOR",10.6357559659096
"74",46471,"89_E_2",2082.1,12.881,23.058,23.058,"GLU",22.1533903409088
"75",46471,"89_E_2",2182.4,2.81,7.264,7.264,"PHE",6.16267187499921
"76",46472,"89_E_2",1290.2,19.316,24.242,24.242,"ALA",23.8471727272727
"77",46472,"89_E_2",1411.6,12.43,15.899,15.899,"VAL",16.9691170454545
"78",46472,"89_E_2",1535.1,8.863,14.098,14.098,"NOR",14.4564556818187
"79",46472,"89_E_2",2086.9,12.596,23.446,23.446,"GLU",22.492243181818
"80",46472,"89_E_2",2186.1,2.636,7.321,7.321,"PHE",6.15593749999925
"81",46473,"5AA",1292.5,18.441,-0.444,-0.444,"ALA",-0.823015909090831
"82",46473,"5AA",1413,11.102,-0.302,-0.302,"VAL",0.778528693181815
"83",46473,"5AA",1551.4,19.387,13.854,13.854,"NOR",14.2851553977277
"84",46473,"5AA",2095.2,12.209,-2.01,-2.01,"GLU",-3.0129039772728
"85",46473,"5AA",2205.6,10.426,-3.403,-3.403,"PHE",-4.63179687500072
"86",46477,"5AA",1328,17.325,-0.878,-0.878,"ALA",-1.19377045454545
"87",46477,"5AA",1448.6,9.949,-0.766,-0.766,"VAL",0.356175284090882
"88",46477,"5AA",1584.4,14.658,13.245,13.245,"NOR",13.9669542613643
"89",46477,"5AA",2142.9,10.618,-2.815,-2.815,"GLU",-4.01449261363648
"90",46477,"5AA",2245.3,9.903,-3.865,-3.865,"PHE",-5.34873437500059
"91",46478,"5AA",1339.5,15.068,-1.578,-1.578,"ALA",-1.87795909090902
"92",46478,"5AA",1459.9,9.997,-1.386,-1.386,"VAL",-0.253413068181851
"93",46478,"5AA",1594.7,15.003,13.019,13.019,"NOR",13.8136539772733
"94",46478,"5AA",2154.8,11.274,-1.94,-1.94,"GLU",-3.18863977272729
"95",46478,"5AA",2255.5,9.512,-3.776,-3.776,"PHE",-5.32346875000056
