"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"1",46554,"5AA",1273.6,20.554,-0.65,-0.65,"ALA",-1.01349999999991
"2",46554,"5AA",1395.3,14.143,-0.648,-0.648,"VAL",0.484769318181896
"3",46554,"5AA",1532,25.259,14.867,14.867,"NOR",14.1628053977268
"4",46554,"5AA",2065.5,12.792,-3.507,-3.507,"GLU",-3.5069215909081
"5",46554,"5AA",2181.8,11.943,-5.502,-5.502,"PHE",-5.37507073863585
"6",46555,"5AA",1275.9,19.179,-0.978,-0.978,"ALA",-1.34399999999992
"7",46555,"5AA",1397.8,13.075,-0.914,-0.914,"VAL",0.214415909090971
"8",46555,"5AA",1534.3,23.935,14.753,14.753,"NOR",14.0783323863632
"9",46555,"5AA",2067.6,12.206,-3.021,-3.021,"GLU",-3.08492954545366
"10",46555,"5AA",2184.3,11.791,-4.883,-4.883,"PHE",-4.82932443181772
"11",46556,"5AA",1275.9,18.79,-0.932,-0.932,"ALA",-1.30049999999992
"12",46556,"5AA",1397.6,12.945,-0.602,-0.602,"VAL",0.522062500000075
"13",46556,"5AA",1534.3,23.453,14.819,14.819,"NOR",14.1738593749997
"14",46556,"5AA",2067.4,12.104,-3.125,-3.125,"GLU",-3.25293749999922
"15",46556,"5AA",2183.8,11.525,-4.952,-4.952,"PHE",-4.97157812499914
"16",46557,"10_W_2_R",1274.9,13.554,23.777,23.777,"ALA",23.4060000000001
"17",46557,"10_W_2_R",1396.7,5.711,20.863,20.863,"VAL",21.9827090909092
"18",46557,"10_W_2_R",1524.7,5.735,13.807,13.807,"NOR",13.1913863636359
"19",46557,"10_W_2_R",2064.3,9.926,24.217,24.217,"GLU",24.0250545454552
"20",46557,"10_W_2_R",2172.3,2.508,4.587,4.587,"PHE",4.49416818181899
"21",46558,"10_W_2_R",1274.3,12.939,23.466,23.466,"ALA",23.0925000000001
"22",46558,"10_W_2_R",1396.3,5.793,20.8,20.8,"VAL",21.9153556818183
"23",46558,"10_W_2_R",1524.2,5.456,13.822,13.822,"NOR",13.2359133522724
"24",46558,"10_W_2_R",2063.9,9.61,23.902,23.902,"GLU",23.6460465909101
"25",46558,"10_W_2_R",2171.9,2.407,5.363,5.363,"PHE",5.19691448863713
"26",46559,"10_W_2_R",1274.9,12.518,22.834,22.834,"ALA",22.4580000000001
"27",46559,"10_W_2_R",1396.7,5.86,19.961,19.961,"VAL",21.0720022727273
"28",46559,"10_W_2_R",1524.9,5.288,13.175,13.175,"NOR",12.6184403409086
"29",46559,"10_W_2_R",2064.3,9.253,23.292,23.292,"GLU",22.9720386363646
"30",46559,"10_W_2_R",2172.6,2.347,3.89,3.89,"PHE",3.65066079545526
"31",46560,"04_E_2_R",1279.5,20.267,22.92,22.92,"ALA",22.5415
"32",46560,"04_E_2_R",1400.9,8.802,19.379,19.379,"VAL",20.4856488636364
"33",46560,"04_E_2_R",1525.7,5.657,12.652,12.652,"NOR",12.1249673295451
"34",46560,"04_E_2_R",2072.2,14.437,23.294,23.294,"GLU",22.910030681819
"35",46560,"04_E_2_R",2175.3,3.302,4.536,4.536,"PHE",4.22340710227339
"36",46561,"04_E_2_R",1278.9,19.411,23.383,23.383,"ALA",23.002
"37",46561,"04_E_2_R",1400.3,7.625,16.353,16.353,"VAL",17.4552954545455
"38",46561,"04_E_2_R",1525.3,3.189,9.676,9.676,"NOR",9.17849431818155
"39",46561,"04_E_2_R",2072,13.735,23.498,23.498,"GLU",23.0500227272734
"40",46561,"04_E_2_R",2175.1,2.942,3.982,3.982,"PHE",3.59615340909152
"41",46562,"04_E_2_R",1279.1,17.946,23.454,23.454,"ALA",23.0705
"42",46562,"04_E_2_R",1400.3,11.326,16.502,16.502,"VAL",17.5999420454546
"43",46562,"04_E_2_R",1525.7,4.257,13.988,13.988,"NOR",13.5200213068178
"44",46562,"04_E_2_R",2072.2,12.758,23.623,23.623,"GLU",23.1110147727279
"45",46562,"04_E_2_R",2175.5,2.625,3.925,3.925,"PHE",3.46589971590965
"46",46563,"5AA",1276.4,15.077,-1.003,-1.003,"ALA",-1.38899999999997
"47",46563,"5AA",1398,9.534,-1.09,-1.09,"VAL",0.00358863636365836
"48",46563,"5AA",1534.7,17.151,14.576,14.576,"NOR",14.1375482954542
"49",46563,"5AA",2068.1,9.632,-3.242,-3.242,"GLU",-3.81799318181723
"50",46563,"5AA",2184.7,9.07,-4.263,-4.263,"PHE",-4.79535397727222
"51",46564,"22_K_3_R",1273.4,9.2,22.51,22.51,"ALA",22.1215
"52",46564,"22_K_3_R",1395.1,8.762,12.957,12.957,"VAL",14.0462352272728
"53",46564,"22_K_3_R",1523.8,7.114,13.469,13.469,"NOR",13.0600752840905
"54",46564,"22_K_3_R",2063.7,7.878,23.622,23.622,"GLU",22.9819988636372
"55",46564,"22_K_3_R",2171.3,1.549,3.47,3.47,"PHE",2.86439232954591
"56",46565,"22_K_3_R",1274.1,8.98,23.603,23.603,"ALA",23.212
"57",46565,"22_K_3_R",1395.7,8.508,13.527,13.527,"VAL",14.6118818181818
"58",46565,"22_K_3_R",1524.7,7.089,14.154,14.154,"NOR",13.7746022727269
"59",46565,"22_K_3_R",2064.1,7.676,23.783,23.783,"GLU",23.0789909090917
"60",46565,"22_K_3_R",2171.9,1.55,4.608,4.608,"PHE",3.92913863636405
"61",46566,"22_K_3_R",1274.1,8.772,23.283,23.283,"ALA",22.8895
"62",46566,"22_K_3_R",1395.5,7.153,13.929,13.929,"VAL",15.0095284090909
"63",46566,"22_K_3_R",1524.4,6.978,14.13,14.13,"NOR",13.7801292613634
"64",46566,"22_K_3_R",2063.9,7.367,23.627,23.627,"GLU",22.8589829545461
"65",46566,"22_K_3_R",2171.7,1.524,5.025,5.025,"PHE",4.27288494318218
"66",46570,"5AA",1275.9,12.514,-0.368,-0.368,"ALA",-0.771500000000029
"67",46570,"5AA",1397.8,7.902,-0.479,-0.479,"VAL",0.584114772727271
"68",46570,"5AA",1534.3,15.96,14.8,14.8,"NOR",14.5682372159088
"69",46570,"5AA",2068.1,7.846,-1.764,-1.764,"GLU",-2.78804886363569
"70",46570,"5AA",2184.5,7.591,-3.709,-3.709,"PHE",-4.75412982954484
"71",46571,"86_W_3",1273.4,7.758,22.209,22.209,"ALA",21.803
"72",46571,"86_W_3",1395.1,5.463,14.642,14.642,"VAL",15.7007613636363
"73",46571,"86_W_3",1523.8,4.478,17.684,17.684,"NOR",17.4817642045453
"74",46571,"86_W_3",2064.5,7.008,22.361,22.361,"GLU",21.2729431818188
"75",46571,"86_W_3",2173.4,1.763,7.59,7.59,"PHE",6.47161647727329
"76",46572,"86_W_3",1272.2,7.799,22.232,22.232,"ALA",21.8235
"77",46572,"86_W_3",1394,6.131,16.902,16.902,"VAL",17.9564079545455
"78",46572,"86_W_3",1523,6.48,16.236,16.236,"NOR",16.0632911931815
"79",46572,"86_W_3",2063,6.977,22.794,22.794,"GLU",21.6419352272732
"80",46572,"86_W_3",2172.1,1.762,7.634,7.634,"PHE",6.44236278409142
"81",46573,"86_W_3",1272.6,7.852,22.552,22.552,"ALA",22.141
"82",46573,"86_W_3",1369.2,1.385,14.36,14.36,"VAL",15.4100545454545
"83",46573,"86_W_3",1523.4,4.39,18.373,18.373,"NOR",18.229818181818
"84",46573,"86_W_3",2063.2,6.329,22.116,22.116,"GLU",20.8999272727281
"85",46573,"86_W_3",2172.6,1.622,7.644,7.644,"PHE",6.37910909090955
"86",46574,"5AA",1276.4,11.941,-0.568,-0.568,"ALA",-0.981500000000048
"87",46574,"5AA",1398,7.764,-0.239,-0.239,"VAL",0.8067011363636
"88",46574,"5AA",1534.7,14.965,14.047,14.047,"NOR",13.9333451704544
"89",46574,"5AA",2068.5,7.695,-2.022,-2.022,"GLU",-3.30208068181747
"90",46574,"5AA",2184.7,6.964,-3.736,-3.736,"PHE",-5.07414460227232
"91",46575,"5AA",1276.2,10.792,-1.254,-1.254,"ALA",-1.67000000000006
"92",46575,"5AA",1397.8,7.379,-1.13,-1.13,"VAL",-0.0886522727272963
"93",46575,"5AA",1534.5,14.306,14.171,14.171,"NOR",14.0868721590907
"94",46575,"5AA",2068.3,7.268,-2.255,-2.255,"GLU",-3.59908863636303
"95",46575,"5AA",2184.5,6.602,-3.817,-3.817,"PHE",-5.22839829545419
