"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"1",46846,"5AA",1277.2,15.004,-0.962,-0.962,"ALA",-1.20488522727257
"2",46846,"5AA",1398.8,10.17,-0.778,-0.778,"VAL",0.411382102272826
"3",46846,"5AA",1535.1,19.78,14.676,14.676,"NOR",14.0038786931828
"4",46846,"5AA",2066.8,9.506,-2.921,-2.921,"GLU",-2.78792244318213
"5",46846,"5AA",2184.1,9.973,-4.931,-4.931,"PHE",-4.85910426136394
"6",46847,"5AA",1276.6,16.299,-0.882,-0.882,"ALA",-1.1029113636363
"7",46847,"5AA",1398.2,11.074,-0.323,-0.323,"VAL",0.908792613636468
"8",46847,"5AA",1534.5,20.472,15.101,15.101,"NOR",14.4795721590916
"9",46847,"5AA",2066.6,10.131,-3.148,-3.148,"GLU",-3.03323465909121
"10",46847,"5AA",2183.6,10.4,-4.675,-4.675,"PHE",-4.62532556818215
"11",46848,"5AA",1277,16.035,-1.022,-1.022,"ALA",-1.22093749999979
"12",46848,"5AA",1398.6,11.018,-1.026,-1.026,"VAL",0.248203125000109
"13",46848,"5AA",1534.9,20.307,14.888,14.888,"NOR",14.3172656250009
"14",46848,"5AA",2066.6,10.291,-3.486,-3.486,"GLU",-3.38954687500029
"15",46848,"5AA",2183.8,10.107,-4.888,-4.888,"PHE",-4.86054687500013
"16",46849,"68_W_2",1281.4,25.119,23.055,23.055,"ALA",22.8780363636365
"17",46849,"68_W_2",1402,8.381,22.643,22.643,"VAL",23.9596136363638
"18",46849,"68_W_2",1527.2,5.774,10.987,10.987,"NOR",10.4669590909097
"19",46849,"68_W_2",2070.4,13.655,22.842,22.842,"GLU",22.9201409090906
"20",46849,"68_W_2",2176.3,3.716,3.759,3.759,"PHE",3.76423181818166
"21",46850,"68_W_2",1281.4,24.522,22.872,22.872,"ALA",22.7170102272728
"22",46850,"68_W_2",1402.2,8.802,22.274,22.274,"VAL",23.6330241477272
"23",46850,"68_W_2",1527.2,5.556,10.846,10.846,"NOR",10.3766525568189
"24",46850,"68_W_2",2070.1,13.06,22.534,22.534,"GLU",22.5938286931817
"25",46850,"68_W_2",2176.3,3.543,2.985,2.985,"PHE",2.96801051136345
"26",46851,"68_W_2",1281,23.307,22.332,22.332,"ALA",22.1989840909093
"27",46851,"68_W_2",1401.8,9.08,21.199,21.199,"VAL",22.6004346590908
"28",46851,"68_W_2",1527,5.337,10.855,10.855,"NOR",10.4363460227277
"29",46851,"68_W_2",2070.1,12.806,22.235,22.235,"GLU",22.2765164772726
"30",46851,"68_W_2",2176.3,3.503,3.342,3.342,"PHE",3.30278920454524
"31",46852,"65_K_2",1273.4,6.56,23.64,23.64,"ALA",23.5289579545455
"32",46852,"65_K_2",1397.4,1.146,14.893,14.893,"VAL",16.3368451704544
"33",46852,"65_K_2",1526.7,5.039,14.308,14.308,"NOR",13.940039488637
"34",46852,"65_K_2",2078.3,17.894,23.547,23.547,"GLU",23.5702042613635
"35",46852,"65_K_2",2179.7,4.517,5.133,5.133,"PHE",5.07156789772703
"36",46853,"65_K_2",1273,5.96,23.587,23.587,"ALA",23.497931818182
"37",46853,"65_K_2",1396.3,4.633,15.769,15.769,"VAL",17.2552556818181
"38",46853,"65_K_2",1525.9,5.838,14.012,14.012,"NOR",13.6947329545458
"39",46853,"65_K_2",2076.8,15.696,23.053,23.053,"GLU",23.0578920454544
"40",46853,"65_K_2",2179.2,3.926,3.865,3.865,"PHE",3.78134659090905
"41",46854,"65_K_2",1273.2,5.476,23.059,23.059,"ALA",22.9919056818183
"42",46854,"65_K_2",1397.2,5.157,14.241,14.241,"VAL",15.7696661931817
"43",46854,"65_K_2",1526.5,5.983,13.594,13.594,"NOR",13.3274264204551
"44",46854,"65_K_2",2077.9,15.489,22.433,22.433,"GLU",22.4195798295454
"45",46854,"65_K_2",2179.5,3.544,4,4,"PHE",3.89412528409084
"46",46855,"5AA",1278.5,13.311,-1.185,-1.185,"ALA",-1.2301204545454
"47",46855,"5AA",1400.1,8.778,-1.834,-1.834,"VAL",-0.262923295454628
"48",46855,"5AA",1536.4,15.753,13.888,13.888,"NOR",13.6721198863643
"49",46855,"5AA",2069.3,8.701,-4.486,-4.486,"GLU",-4.51773238636371
"50",46855,"5AA",2185.9,8.309,-5.682,-5.682,"PHE",-5.81009602272737
"51",46856,"65_E_2",1278,7.552,20.95,20.95,"ALA",20.9268534090911
"52",46856,"65_E_2",1400.7,8.541,13.535,13.535,"VAL",15.148487215909
"53",46856,"65_E_2",1529.3,3.831,16.54,16.54,"NOR",16.3748133522731
"54",46856,"65_E_2",2074.7,10.125,22.37,22.37,"GLU",22.3199553977273
"55",46856,"65_E_2",2181.8,2.781,2.551,2.551,"PHE",2.40068267045442
"56",46857,"65_E_2",1278.5,6.587,21.109,21.109,"ALA",21.1078272727274
"57",46857,"65_E_2",1401.1,7.766,13.731,13.731,"VAL",15.3868977272727
"58",46857,"65_E_2",1529.9,5.917,14.89,14.89,"NOR",14.7755068181824
"59",46857,"65_E_2",2075,8.479,21.318,21.318,"GLU",21.2496431818182
"60",46857,"65_E_2",2182.4,2.407,3.061,3.061,"PHE",2.88846136363621
"61",46858,"65_E_2",1281.6,6.414,20.839,20.839,"ALA",20.8598011363637
"62",46858,"65_E_2",1404.7,5.978,11.39,11.39,"VAL",13.0883082386363
"63",46858,"65_E_2",1533.4,4.663,12.563,12.563,"NOR",12.4992002840912
"64",46858,"65_E_2",2080.4,8.984,22.12,22.12,"GLU",22.0333309659092
"65",46858,"65_E_2",2186.6,2.365,2.455,2.455,"PHE",2.26024005681823
"66",46862,"5AA",1300.8,11.22,-1.739,-1.739,"ALA",-1.63030340909079
"67",46862,"5AA",1422.5,6.637,-2.102,-2.102,"VAL",-0.234049715909365
"68",46862,"5AA",1558.5,11.465,13.908,13.908,"NOR",14.0469741477274
"69",46862,"5AA",2102.1,6.875,-3.765,-3.765,"GLU",-3.92491789772703
